Poll Date,Area,Area Code,Area URL,Party,Party ID,Votes,Ballots Rejected
2014-05-22,Scotland,S15000001,http://statistics.data.gov.uk/doc/statistical-geography/S15000001,Britain First,PP 2214,13639,2184
2014-05-22,Scotland,S15000001,http://statistics.data.gov.uk/doc/statistical-geography/S15000001,British National Party,PP 105,10216,2184
2014-05-22,Scotland,S15000001,http://statistics.data.gov.uk/doc/statistical-geography/S15000001,Conservative Party,PP 52,231330,2184
2014-05-22,Scotland,S15000001,http://statistics.data.gov.uk/doc/statistical-geography/S15000001,Labour Party,PP 53,348219,2184
2014-05-22,Scotland,S15000001,http://statistics.data.gov.uk/doc/statistical-geography/S15000001,Liberal Democrats,PP 90,95319,2184
2014-05-22,Scotland,S15000001,http://statistics.data.gov.uk/doc/statistical-geography/S15000001,NO2EU,PP 2164,6418,2184
2014-05-22,Scotland,S15000001,http://statistics.data.gov.uk/doc/statistical-geography/S15000001,Scottish Green Party,PP 130,108305,2184
2014-05-22,Scotland,S15000001,http://statistics.data.gov.uk/doc/statistical-geography/S15000001,Scottish National Party (SNP),PP 102,389503,2184
2014-05-22,Scotland,S15000001,http://statistics.data.gov.uk/doc/statistical-geography/S15000001,UK Independence Party (UKIP),PP 85,140534,2184
