Poll Date,Area,Area Code,Area URL,Party,Party ID,Votes,Ballots Rejected
2014-05-26,North East,E15000001,http://statistics.data.gov.uk/doc/statistical-geography/E15000001,Labour Party,PP 53,221988,
2014-05-26,North East,E15000001,http://statistics.data.gov.uk/doc/statistical-geography/E15000001,UK Independence Party (UKIP),PP 85,177660,
2014-05-26,North East,E15000001,http://statistics.data.gov.uk/doc/statistical-geography/E15000001,Conservative Party,PP 52,107733,
2014-05-26,North East,E15000001,http://statistics.data.gov.uk/doc/statistical-geography/E15000001,Liberal Democrats,PP 90,36093,
2014-05-26,North East,E15000001,http://statistics.data.gov.uk/doc/statistical-geography/E15000001,Green Party,PP 63,31605,
2014-05-26,North East,E15000001,http://statistics.data.gov.uk/doc/statistical-geography/E15000001,An Independence from Europe,PP 1918,13934,
2014-05-26,North East,E15000001,http://statistics.data.gov.uk/doc/statistical-geography/E15000001,British National Party,PP 105,10360,
2014-05-26,North East,E15000001,http://statistics.data.gov.uk/doc/statistical-geography/E15000001,English Democrats,PP 17,9279,2116
